pygame 2.0.2 (SDL 2.0.16, Python 3.9.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 1,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /lustre/home/acct-stu/stu110/Olympics/rl_trainer/models/olympics-running/ppo/run1
Episode:  63 controlled agent:  1 ; Episode Return:  -88.0 ; win rate(controlled & opponent):  0.40 0.49 ; Trained episode: 25
Episode:  64 controlled agent:  1 ; Episode Return:  -223.0 ; win rate(controlled & opponent):  0.41 0.48 ; Trained episode: 25
Episode:  65 controlled agent:  1 ; Episode Return:  26.0 ; win rate(controlled & opponent):  0.42 0.48 ; Trained episode: 26
Episode:  66 controlled agent:  1 ; Episode Return:  -54.0 ; win rate(controlled & opponent):  0.42 0.47 ; Trained episode: 27
Episode:  67 controlled agent:  1 ; Episode Return:  23.0 ; win rate(controlled & opponent):  0.43 0.46 ; Trained episode: 28
Episode:  68 controlled agent:  1 ; Episode Return:  16.0 ; win rate(controlled & opponent):  0.44 0.46 ; Trained episode: 29
Episode:  69 controlled agent:  1 ; Episode Return:  -123.0 ; win rate(controlled & opponent):  0.43 0.46 ; Trained episode: 30
Episode:  70 controlled agent:  1 ; Episode Return:  -127.0 ; win rate(controlled & opponent):  0.43 0.47 ; Trained episode: 30
Episode:  71 controlled agent:  1 ; Episode Return:  -70.0 ; win rate(controlled & opponent):  0.42 0.48 ; Trained episode: 30
Episode:  72 controlled agent:  1 ; Episode Return:  -9.0 ; win rate(controlled & opponent):  0.43 0.47 ; Trained episode: 30
Episode:  73 controlled agent:  1 ; Episode Return:  -72.0 ; win rate(controlled & opponent):  0.42 0.48 ; Trained episode: 31
Episode:  74 controlled agent:  1 ; Episode Return:  -77.0 ; win rate(controlled & opponent):  0.42 0.49 ; Trained episode: 31
Episode:  75 controlled agent:  1 ; Episode Return:  -90.0 ; win rate(controlled & opponent):  0.41 0.49 ; Trained episode: 31
Episode:  76 controlled agent:  1 ; Episode Return:  -183.0 ; win rate(controlled & opponent):  0.42 0.49 ; Trained episode: 31
Episode:  77 controlled agent:  1 ; Episode Return:  -116.0 ; win rate(controlled & opponent):  0.42 0.49 ; Trained episode: 32
Episode:  78 controlled agent:  1 ; Episode Return:  -343.0 ; win rate(controlled & opponent):  0.42 0.49 ; Trained episode: 32
Episode:  79 controlled agent:  1 ; Episode Return:  -225.0 ; win rate(controlled & opponent):  0.43 0.48 ; Trained episode: 33
Episode:  80 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.42 0.47 ; Trained episode: 34
Episode:  81 controlled agent:  1 ; Episode Return:  -211.0 ; win rate(controlled & opponent):  0.43 0.47 ; Trained episode: 34
Episode:  82 controlled agent:  1 ; Episode Return:  -161.0 ; win rate(controlled & opponent):  0.43 0.48 ; Trained episode: 35
